,photo_id,density_10m,density_100m,density_500m
0,15476308546,10,869,26379
1,15312546739,55,794,26196
2,15499097552,57,803,26188
3,15312555239,55,794,26196
4,15496316801,27,983,26939
5,15312567169,29,980,26936
6,15476338186,27,983,26939
7,15312756360,14,3945,29961
8,15496341021,1198,11415,30933
9,15312768580,658,10781,31036
10,15476368136,514,11084,31790
11,15312615339,985,7937,21484
12,15312945957,18,6300,20760
13,15496385511,18,6300,20760
14,15312881488,18,6300,20760
15,15499555965,800,7951,21506
16,15516625622,217,253,1375
17,15330431677,217,253,1375
18,15513857041,217,253,1375
19,15513858211,217,253,1375
20,15493852266,217,253,1375
21,15330280000,217,253,1375
22,15493854466,217,253,1375
23,15330437347,217,253,1375
24,15493856646,217,253,1375
25,15493857686,217,253,1375
26,15517032605,217,253,1375
27,15493859976,217,253,1375
28,15330288130,217,253,1375
29,15330443867,217,253,1375
30,15330289850,217,253,1375
31,15330372968,217,253,1375
32,15330446557,217,253,1375
33,15493866026,217,253,1375
34,15330375128,217,253,1375
35,15330294170,217,253,1375
36,15330129699,217,253,1375
37,15330295740,217,253,1375
38,15330131359,217,253,1375
39,15330297240,217,253,1375
40,15516647662,217,253,1375
41,15330298320,217,253,1375
42,15330453027,217,253,1375
43,15330134319,217,253,1375
44,15493873116,217,253,1375
45,15517046865,217,253,1375
46,15330136679,217,253,1375
47,15330137569,217,253,1375
48,15513882321,217,253,1375
49,15517050245,217,253,1375
50,15516654652,217,253,1375
51,15330305640,217,253,1375
52,15517052765,217,253,1375
53,15330461737,217,253,1375
54,15330389958,217,253,1375
55,15493881926,217,253,1375
56,15330392318,217,253,1375
57,15516661292,217,253,1375
58,15330467017,217,253,1375
59,15330313830,217,253,1375
60,15330150949,217,253,1375
61,15330471237,217,253,1375
62,15330399578,217,253,1375
63,15493890706,217,253,1375
64,15330401718,217,253,1375
65,15330475387,217,253,1375
66,15330476267,217,253,1375
67,15330158279,217,253,1375
68,15330159479,217,253,1375
69,15330479217,217,253,1375
70,15517072675,217,253,1375
71,15517073715,217,253,1375
72,15517074815,217,253,1375
73,15517076075,217,253,1375
74,15330484847,217,253,1375
75,15517078405,217,253,1375
76,15517079345,217,253,1375
77,15516682252,217,253,1375
78,15330169829,217,253,1375
79,15330335060,217,253,1375
80,15330171749,217,253,1375
81,15517084005,217,253,1375
82,15330174129,217,253,1375
83,15330420858,217,253,1375
84,15513919601,217,253,1375
85,15330177709,217,253,1375
86,15330342690,217,253,1375
87,15340313217,20,498,27506
88,15340025159,20,498,27506
89,15340316937,20,498,27506
90,15505359026,1,1,1
91,15342114917,1,1,1
92,15528810555,1,1,1
93,15342607037,217,253,1375
94,14908234083,217,253,1375
95,14908235194,217,253,1375
96,15506118276,217,253,1375
97,15506119896,217,253,1375
98,15528983972,217,253,1375
99,15506122186,217,253,1375
100,15342445679,217,253,1375
101,15506125286,217,253,1375
102,15342636930,217,253,1375
103,15342638350,217,253,1375
104,15342639970,217,253,1375
105,15342631397,217,253,1375
106,14908257033,217,253,1375
107,15342634757,217,253,1375
108,15529000172,217,253,1375
109,14908258554,217,253,1375
110,14908260424,217,253,1375
111,14908266013,217,253,1375
112,15342467379,217,253,1375
113,15342645537,217,253,1375
114,15506147816,217,253,1375
115,15506149166,217,253,1375
116,15529013442,217,253,1375
117,15529015172,217,253,1375
118,15342477569,217,253,1375
119,15342667790,217,253,1375
120,14908282763,217,253,1375
121,15529022622,217,253,1375
122,15342671660,217,253,1375
123,14908283584,217,253,1375
124,15506163876,217,253,1375
125,15342488619,217,253,1375
126,15506167196,217,253,1375
127,14908290534,217,253,1375
128,15342494809,217,253,1375
129,15506172426,217,253,1375
130,15342673127,217,253,1375
131,15506174276,217,253,1375
132,14908295784,217,253,1375
133,14908300703,217,253,1375
134,15506177426,217,253,1375
135,15342678007,217,253,1375
136,15342690090,217,253,1375
137,14908306153,217,253,1375
138,15342682597,217,253,1375
139,15529046692,217,253,1375
140,15342696080,217,253,1375
141,14908311253,217,253,1375
142,15529051422,217,253,1375
143,15342700330,217,253,1375
144,15529053832,217,253,1375
145,15506193976,217,253,1375
146,15342706540,217,253,1375
147,15342699697,217,253,1375
148,14908321514,217,253,1375
149,14908326933,217,253,1375
150,14908324404,217,253,1375
151,14908329973,217,253,1375
152,15342530579,217,253,1375
153,15506208386,217,253,1375
154,14908329274,217,253,1375
155,14908335363,217,253,1375
156,14908332424,217,253,1375
157,14908338123,217,253,1375
158,15506214986,217,253,1375
159,15506215856,217,253,1375
160,15527019511,1,1,1
161,15343817127,1,2,17
162,15343865830,1,10,21
163,15343882070,1,1,1
164,15343927910,4,181,13910
165,15530289352,6,204,13847
166,15527263071,7,195,11292
167,15343933547,1,139,11412
168,15343754759,20,1135,10727
169,15343938377,11,426,14651
170,15343940597,11,426,14651
171,15527273181,11,426,14615
172,15530305552,2,95,7717
173,15527279061,18,65,6327
174,15343951367,3,75,5796
175,15527283711,11,426,14651
176,14909768004,16,787,10205
177,15527671701,3,179,13313
178,15527673661,1,314,17255
179,15530383345,2,428,18803
180,15344872820,2,259,16355
181,15506678596,2,259,16355
182,15530388565,1,1035,23427
183,14909779674,10,1682,22680
184,14909781064,18,956,18741
185,15527685071,4,281,3513
186,15531229922,1,13,1604
187,15344239868,5,313,3023
188,15506687926,2,248,2460
189,15530397685,2,215,2411
190,15531234472,2,289,2163
191,15527692021,16,509,2106
192,15344383247,16,509,2106
193,15530403545,1,113,2142
194,15531240312,1,32,6386
195,14909795454,1,54,10106
196,14909797704,1,405,7030
197,15343979679,1,1,1
198,15343981359,1,2,2
199,15527913281,1,2,2
200,14910438663,1,1,1
201,15343985539,1,1,1
202,14910441673,1,7,60
203,15530627815,1,1,1
204,15530630065,1,1,1
205,14910447873,1,1,1
206,15531472182,1,1,1
207,14910450953,1,12,60
208,15530635965,1,1,1
209,15530637925,1,1,1
210,15344483988,1,1,1
211,15531480572,3,9,112
212,15527936121,3,9,112
213,15506938046,3,9,112
214,15506939786,1,9,112
215,15344009319,3,8,115
216,15506942416,3,8,115
217,15531488972,3,8,115
218,15506946406,1,2,2
219,14909901844,1,1,1
220,15531494102,1,6,6
221,15506949906,3,8,116
222,15531496622,3,8,116
223,15527950491,3,8,116
224,15347544878,50,715,7029
225,15533831735,1,1,1
226,15531115181,3,12,36
227,14913637633,3,12,36
228,15533840195,183,639,25962
229,14913343194,1,3,3
230,15534100545,2,2,2
231,15347932438,2,2,2
232,15348168457,11,289,6628
233,15348028648,11,289,6628
234,15535012082,19,22,52
235,15348021058,19,22,52
236,15510475656,19,22,52
237,14913418264,19,22,52
238,15347532519,50,715,7029
239,15531919541,1,621,7735
240,15532382371,6,287,2025
241,15348912098,3,170,1488
242,14914328394,2,184,1543
243,14915958924,10,408,19621
244,15537596132,40,187,5195
245,15536791855,1,1,1
246,15350780587,46,1189,4354
247,15513642816,1,16,164
248,15354074288,44,1716,25051
249,15519307156,1,1,1
250,14923397284,32,32,208
251,15544149435,32,32,208
252,15544988402,32,32,208
253,15357529469,32,32,208
254,15541468671,32,32,208
255,15544989522,32,32,208
256,15358514290,32,32,208
257,14923399714,32,32,208
258,15544151305,32,32,208
259,14923400224,32,32,208
260,15358515370,32,32,208
261,15544152195,32,32,208
262,14924137973,3,4,5
263,15358373428,7,654,26194
264,15359632798,218,4659,24827
265,15546440242,26,86,3781
266,15358978949,26,86,3781
267,15545594195,26,86,3781
268,15542918441,26,86,3781
269,15359453548,26,86,3781
270,15545590265,26,86,3781
271,15521888576,26,86,3781
272,15358970979,26,86,3781
273,15521885596,26,86,3781
274,15359445228,26,86,3781
275,15545580405,26,86,3781
276,15358963189,26,86,3781
277,15359942620,26,86,3781
278,15359438528,26,86,3781
279,15545574925,26,86,3781
280,14924826964,26,86,3781
281,15521873466,26,86,3781
282,14925399743,26,86,3781
283,15359433228,26,86,3781
284,15521869766,26,86,3781
285,15359932020,26,86,3781
286,15545566055,26,86,3781
287,15545564375,26,86,3781
288,15359556197,26,86,3781
289,15359555007,26,86,3781
290,15551004732,185,660,26065
291,15551755812,578,5084,24965
292,15479543876,2,2,2
293,14933454274,5,5,63
294,14933455844,2,5,117
295,15551535871,10,13,28
296,15556454422,53,1710,25252
297,15379416647,1,1,3
298,14937378514,75,1187,4271
299,15557204311,8,572,2144
300,15558028205,8,4905,26211
301,15538497566,2,4,7
302,15538499546,1,4,7
303,15538501576,1,4,8
304,15376197867,1,2,8
305,15562218115,1,2,8
306,15376083208,1,1,8
307,15563056822,15,15,15
308,15562224355,15,15,15
309,14942048163,15,15,15
310,15538516516,15,15,15
311,15376093798,15,15,15
312,15376215297,15,15,15
