,city-part,count,proportion
0,Praha 18,337,0.0025213604872136347
1,Praha-Velká Chuchle,23,0.0001720809828068653
2,Praha-Lysolaje,66,0.0004937976028370917
3,Praha-Nebušice,7,5.237247302817639e-05
4,Praha 17,69,0.0005162429484205958
5,Praha-Suchdol,270,0.002020081102515375
6,Praha-Ďáblice,4,2.9927127444672223e-05
7,Praha-Dolní Chabry,3,2.244534558350417e-05
8,Praha-Čakovice,8,5.985425488934445e-05
9,Praha-Troja,1970,0.01473911026650107
10,Praha-Přední Kopanina,2,1.4963563722336112e-05
11,Praha 21,4,2.9927127444672223e-05
12,Praha-Vinoř,17,0.00012719029163985694
13,Praha-Lipence,0,0.0
14,Praha 19,157,0.0011746397522033848
15,Praha 14,355,0.0026560325607146596
16,Praha-Dolní Měcholupy,2,1.4963563722336112e-05
17,Praha 15,93,0.0006958057130886292
18,Praha-Petrovice,4,2.9927127444672223e-05
19,Praha-Štěrboholy,2,1.4963563722336112e-05
20,Praha 13,149,0.0011147854973140403
21,Praha-Šeberov,12,8.978138233401667e-05
22,Praha-Újezd,4,2.9927127444672223e-05
23,Praha-Zbraslav,58,0.0004339433479477472
24,Praha-Zličín,156,0.0011671579703422168
25,Praha-Kunratice,25,0.0001870445465292014
26,Praha-Libuš,85,0.0006359514581992848
27,Praha 12,84,0.0006284696763381167
28,Praha 8,2285,0.017095871552769006
29,Praha 9,1459,0.010915919735444193
30,Praha 1,96281,0.7203534393751215
31,Praha 2,13165,0.09849765820227746
32,Praha 3,1736,0.012988373310987745
33,Praha 4,2189,0.016377620494096874
34,Praha 5,2299,0.01720061649882536
35,Praha 6,2085,0.015599515180535397
36,Praha 7,4510,0.033742836193867934
37,Praha 20,31,0.00023193523769620973
38,Praha-Klánovice,2,1.4963563722336112e-05
39,Praha-Koloděje,13,9.726316419518473e-05
40,Praha-Kolovraty,1233,0.009225037034820213
41,Praha-Královice,8,5.985425488934445e-05
42,Praha-Křeslice,6,4.489069116700834e-05
43,Praha-Nedvězí,0,0.0
44,Praha-Satalice,38,0.0002843077107243861
45,Praha 22,7,5.237247302817639e-05
46,Praha 10,568,0.004249652097143456
47,Praha-Běchovice,6,4.489069116700834e-05
48,Praha-Benice,0,0.0
49,Praha-Březiněves,18,0.000134672073501025
50,Praha-Dubeč,21,0.00015711741908452917
51,Praha-Dolní Počernice,153,0.0011447126247587126
52,Praha-Lochkov,0,0.0
53,Praha 16,25,0.0001870445465292014
54,Praha-Řeporyje,23,0.0001720809828068653
55,Praha-Slivenec,11,8.229960047284861e-05
56,Praha 11,1520,0.011372308428975445
